Unit 1: What is brokerage?,The business of bringing parties together in a real estate transaction.
Unit 1: What does an appraiser do?,Estimates or gives an opinion of property value.
Unit 1: What does a property manager do?,Operates and manages property for an owner.
Unit 1: What is supply?,The amount of property available in the market.
Unit 1: What is demand?,The desire and ability of buyers or tenants to acquire property.
Unit 1: Why are real estate markets local?,"Because location, jobs, amenities, supply, demand, and local conditions affect value."
Unit 2: What is land?,"The earth’s surface, subsurface, airspace, and things naturally attached."
Unit 2: What is real estate?,Land plus permanent human-made improvements.
Unit 2: What is real property?,Real estate plus the legal rights of ownership.
Unit 2: What is personal property?,Movable property not permanently attached to land.
Unit 2: What is a fixture?,Personal property that became real property through attachment and intent.
Unit 2: What is a trade fixture?,Tenant business property attached to real estate but removable if done properly.
Unit 2: What is the bundle of legal rights?,"The ownership rights to possess, control, enjoy, exclude, and dispose of property."
Unit 3: What is fee simple ownership?,The broadest and strongest form of real property ownership.
Unit 3: What is a life estate?,Ownership that lasts for the lifetime of a named person.
Unit 3: What is a leasehold estate?,A tenant’s right to possess and use property without owning it.
Unit 3: What is an encumbrance?,"A claim, charge, or liability affecting property title or use."
Unit 3: What is an easement?,A right to use another person’s land for a specific purpose.
Unit 3: What is a lien?,A claim against property as security for a debt or obligation.
Unit 3: What is police power?,"Government power to regulate land use for public health, safety, morals, and welfare."
Unit 3: What is eminent domain?,Government power to take private property for public use with compensation.
Unit 3: What is escheat?,Property transfers to the state when an owner dies without heirs or a will.
Unit 4: What is ownership in severalty?,Ownership by one person or one legal entity.
Unit 4: What is tenancy in common?,Co-ownership with possible unequal shares and inheritance by heirs.
Unit 4: What is joint tenancy?,Co-ownership that usually includes right of survivorship.
Unit 4: What is right of survivorship?,The deceased owner’s share passes automatically to surviving co-owner(s).
Unit 4: What is a condominium?,Individual unit ownership plus shared interest in common elements.
Unit 4: What is a cooperative?,Residents own shares in a corporation and receive occupancy rights.
Unit 4: What is a timeshare?,Ownership or use rights for a property during specific time periods.
Unit 5: What is a legal description?,A precise description identifying a specific parcel of land.
Unit 5: What is metes and bounds?,"A legal description using distances, directions, and monuments."
Unit 5: What is a monument?,A fixed object or marker used in a land description.
Unit 5: What is the point of beginning?,The starting and ending point in a metes-and-bounds description.
Unit 5: What is the rectangular survey system?,"A land description system using baselines, meridians, townships, ranges, and sections."
Unit 5: What is lot and block?,A description method using subdivision plat maps.
Unit 5: Why is a street address usually not enough?,It may identify location but not the exact legal parcel.
Unit 6: What is title?,Legal ownership of property.
Unit 6: What is a deed?,A written instrument used to transfer real property ownership.
Unit 6: Who is the grantor?,The person transferring property.
Unit 6: Who is the grantee?,The person receiving property.
Unit 6: What is a general warranty deed?,A deed giving the strongest warranties and buyer protection.
Unit 6: What is a special warranty deed?,A deed warranting only against problems during the grantor’s ownership.
Unit 6: What is a quitclaim deed?,"A deed transferring whatever interest the grantor may have, with no warranties."
Unit 6: What does testate mean?,Dying with a valid will.
Unit 6: What does intestate mean?,Dying without a valid will.
Unit 7: What is recording?,Placing documents in public records to provide notice.
Unit 7: What is actual notice?,Direct knowledge of a fact.
Unit 7: What is constructive notice?,Legal notice created by public record availability.
Unit 7: What is chain of title?,The history of ownership transfers for a property.
