Unit 1: What is real estate brokerage?,"The business of bringing buyers and sellers, landlords and tenants, or other parties together in real estate transactions."
Unit 1: What does an appraiser do?,"An appraiser develops an opinion of property value, usually for lending, sale, tax, or legal purposes."
Unit 1: What does a property manager do?,"A property manager operates real estate for an owner, including rent, maintenance, tenants, budgets, and reports."
Unit 1: What does a mortgage lender do?,A mortgage lender provides financing so buyers can purchase or refinance real estate.
Unit 1: What does a real estate developer do?,A developer improves land or existing property for a new or more profitable use.
Unit 1: What is real estate counseling?,"Professional advice about real estate decisions, investments, use, value, or strategy."
Unit 1: What is real estate investment?,"Buying, owning, or financing real estate to earn income, appreciation, tax benefits, or portfolio growth."
Unit 1: What is supply in real estate?,The amount of property available for sale or rent in a market.
Unit 1: What is demand in real estate?,The desire and ability of buyers or tenants to purchase or lease property.
Unit 1: What happens when demand rises and supply is limited?,Prices and rents usually rise because more people compete for fewer properties.
Unit 1: Why is location so important?,"Location affects desirability, access, schools, jobs, amenities, safety perceptions, and value."
Unit 1: Why are real estate markets local?,"Properties are fixed in place, and values depend on local supply, demand, economy, and neighborhood conditions."
Unit 1: What is situs?,The personal preference people have for one location over another.
Unit 1: What is scarcity in real estate?,Limited availability of land or desirable property in a specific market.
Unit 1: What is improvement?,"A human-made addition to land, such as a building, road, fence, or utility connection."
Unit 1: What is permanence of investment?,The long-term nature of improvements and capital invested in real estate.
Unit 1: What is area preference?,"People’s preference for certain neighborhoods or areas, also called situs."
Unit 1: What is the role of a title company?,"To help research title, provide title insurance, and support closing or settlement."
Unit 1: What is the role of an inspector?,To evaluate property condition and report defects or safety concerns.
Unit 1: What is the big exam idea from Unit 1?,"Real estate value is local and shaped by careers, services, supply, demand, and location."
Unit 2: What is land?,"The earth’s surface, subsurface, airspace, and things naturally attached to it."
Unit 2: What is real estate?,Land plus permanent human-made improvements attached to the land.
Unit 2: What is real property?,Real estate plus the legal rights of ownership.
Unit 2: What is personal property?,Movable property that is not permanently attached to land.
Unit 2: What is chattel?,Another term for personal property.
Unit 2: What is a fixture?,Personal property that became real property because it was attached with intent to remain.
Unit 2: What is a trade fixture?,Business-related tenant property that may be removed if removal is timely and does not damage the property.
Unit 2: What is appurtenance?,"A right or item that belongs to and transfers with the land, such as an easement."
Unit 2: What is the bundle of legal rights?,"The ownership rights to possess, control, enjoy, exclude, and dispose of property."
Unit 2: What is the right of possession?,The owner’s right to occupy or possess the property.
Unit 2: What is the right of control?,The owner’s right to use the property legally and within restrictions.
Unit 2: What is the right of enjoyment?,The owner’s right to use the property without unlawful interference.
Unit 2: What is the right of exclusion?,"The owner’s right to keep others off the property, subject to law."
Unit 2: What is the right of disposition?,"The owner’s right to sell, lease, will, or transfer the property."
Unit 2: What is annexation?,The process of attaching personal property to real property.
Unit 2: What is severance?,The process of converting real property into personal property by detaching it.
Unit 2: What is emblement?,Annual crops produced by tenant labor that are treated as personal property.
Unit 2: What is the main fixture test?,"Attachment, adaptation, agreement, relationship of parties, and intent."
Unit 2: What is air rights?,"Rights to use or control space above land, within legal limits."
Unit 2: What is subsurface rights?,"Rights to use or transfer interests below the earth’s surface, such as minerals."
Unit 3: What is fee simple?,"The broadest ownership estate, potentially lasting forever."
Unit 3: What is fee simple defeasible?,Ownership that may end if a condition is violated.
Unit 3: What is life estate?,Ownership lasting for the lifetime of a named person.
Unit 3: What is life tenant?,The person who holds property during the measuring life of a life estate.
Unit 3: What is remainder interest?,A future interest that goes to a third party after a life estate ends.
Unit 3: What is reversionary interest?,A future interest returning to the original owner or heirs after a life estate ends.
Unit 3: What is leasehold estate?,A tenant’s right to possess property without owning it.
Unit 3: What is freehold estate?,An ownership estate of uncertain duration.
Unit 3: What is encumbrance?,"A claim, charge, or liability affecting title or use."
Unit 3: What is easement?,A right to use another person’s land for a specific purpose.
Unit 3: What is easement appurtenant?,An easement attached to and benefiting another parcel of land.
Unit 3: What is easement in gross?,An easement benefiting a person or company rather than a parcel.
Unit 3: What is encroachment?,An unauthorized physical intrusion onto another property.
Unit 3: What is lien?,A claim against property as security for a debt.
Unit 3: What is deed restriction?,A private limit on property use written into a deed or covenant.
Unit 3: What is police power?,"Government power to regulate for health, safety, morals, and welfare."
Unit 3: What is eminent domain?,Government power to take private property for public use with compensation.
Unit 3: What is taxation?,Government power to tax real property.
Unit 3: What is escheat?,Transfer of property to the state when an owner dies without heirs.
Unit 3: What is condemnation?,The legal process used to exercise eminent domain.
Unit 4: What is severalty?,Ownership by one person or one legal entity.
Unit 4: What is co-ownership?,Ownership by two or more people or entities.
Unit 4: What is tenancy in common?,Co-ownership allowing unequal shares and inheritance by heirs.
Unit 4: What is joint tenancy?,Co-ownership usually requiring equal shares and right of survivorship.
Unit 4: What is right of survivorship?,A deceased owner’s interest passes to surviving co-owners.
Unit 4: What is partition?,Legal action to divide or sell co-owned property.
Unit 4: What is tenancy by the entirety?,"Spousal ownership form with survivorship, recognized in some states."
Unit 4: What is community property?,Marital property system used in some states.
Unit 4: What is separate property?,Property owned individually by one spouse.
Unit 4: What is condominium?,Individual unit ownership plus shared common elements.
Unit 4: What is common elements?,Parts of a condo property owned or used by unit owners collectively.
Unit 4: What is limited common elements?,Common elements reserved for use by certain units.
Unit 4: What is cooperative?,Ownership through shares in a corporation plus occupancy rights.
Unit 4: What is proprietary lease?,Lease giving a co-op shareholder occupancy rights.
Unit 4: What is timeshare?,Ownership or use rights for a property during specific time periods.
Unit 4: What is trust?,Arrangement where trustee holds property for beneficiary.
Unit 4: What is corporation?,Legal entity that may own real estate separately from shareholders.
Unit 4: What is partnership?,Business association that may own real estate.
Unit 4: What is LLC?,"Limited liability company, a common entity for owning property."
Unit 4: What is syndicate?,Group pooling resources for a real estate investment.
Unit 5: What is legal description?,A precise description identifying a specific parcel of land.
Unit 5: What is street address?,"A mailing/location address, usually not enough for legal transfer."
Unit 5: What is metes and bounds?,"Description using distances, directions, and monuments."
Unit 5: What is metes?,Measurements or distances in a metes-and-bounds description.
Unit 5: What is bounds?,Boundaries or directions in a metes-and-bounds description.
Unit 5: What is monument?,Natural or artificial marker used to identify boundaries.
Unit 5: What is point of beginning?,Starting and ending point in metes and bounds.
Unit 5: What is rectangular survey system?,"System using baselines, meridians, townships, ranges, and sections."
Unit 5: What is principal meridian?,Main north-south survey line.
Unit 5: What is baseline?,Main east-west survey line.
Unit 5: What is township?,Six-mile-square area in the rectangular survey system.
Unit 5: What is range?,"Strip of land running north-south, identified east or west of a meridian."
Unit 5: What is section?,"One-square-mile part of a township, containing 640 acres."
Unit 5: What is acre?,"43,560 square feet."
Unit 5: What is quarter section?,"160 acres, one-fourth of a section."
Unit 5: What is lot and block?,Description using recorded subdivision plat maps.
Unit 5: What is plat map?,"Map showing lots, blocks, streets, and easements in a subdivision."
Unit 5: What is survey?,Professional measurement and mapping of land boundaries.
Unit 5: What is datum?,Reference point or surface for elevations.
Unit 5: What is legal description exam trap?,"Street addresses identify location, but legal descriptions identify exact land."
Unit 6: What is title?,Legal ownership of property.
Unit 6: What is deed?,Written instrument used to transfer real property ownership.
Unit 6: What is grantor?,Person transferring property.
Unit 6: What is grantee?,Person receiving property.
Unit 6: What is conveyance?,Transfer of title or an interest in real property.
Unit 6: What is consideration?,Something of value exchanged in a deed or contract.
Unit 6: What is legal description in a deed?,Identifies the exact property being transferred.
Unit 6: What is delivery and acceptance?,Required for a deed to transfer title.
Unit 6: What is general warranty deed?,Deed with the strongest warranties and buyer protection.
Unit 6: What is special warranty deed?,Deed warranting only against title problems during grantor ownership.
Unit 6: What is bargain and sale deed?,Deed implying grantor has title but often limited warranties.
Unit 6: What is quitclaim deed?,"Deed transferring whatever interest the grantor has, if any, with no warranties."
Unit 6: What is deed in trust?,Deed transferring property to a trustee.
Unit 6: What is trustee’s deed?,Deed used by a trustee to convey property.
Unit 6: What is will?,Document directing property distribution after death.
Unit 6: What is testate?,Dying with a valid will.
Unit 6: What is intestate?,Dying without a valid will.
Unit 6: What is descent?,Transfer of property by inheritance when there is no will.
Unit 6: What is probate?,Court process to distribute a deceased person’s estate.
Unit 6: What is adverse possession?,"Acquiring title through open, notorious, hostile, continuous, exclusive possession for the statutory period."
Unit 7: What is recording?,Placing documents in public records to provide notice.
Unit 7: What is public records?,Government records of documents affecting real estate.
Unit 7: What is actual notice?,Direct knowledge of a fact.
Unit 7: What is constructive notice?,Legal notice from recorded documents or possession.
Unit 7: What is inquiry notice?,Notice that a person should investigate based on visible facts.
Unit 7: What is chain of title?,History of ownership transfers for a property.
Unit 7: What is title search?,Examination of public records to identify ownership and defects.
Unit 7: What is abstract of title?,Summary of recorded documents affecting title.
Unit 7: What is attorney’s opinion of title?,Legal opinion based on title examination.
Unit 7: What is marketable title?,Title reasonably free from doubt or defects.
Unit 7: What is cloud on title?,Possible defect or claim affecting ownership.
Unit 7: What is quiet title action?,Lawsuit to resolve title defects or competing claims.
Unit 7: What is title insurance?,Insurance protecting against certain past title defects.
Unit 7: What is owner’s title policy?,Title insurance protecting the property owner.
Unit 7: What is lender’s title policy?,Title insurance protecting the lender’s security interest.
Unit 7: What is standard coverage?,"Title policy coverage for listed covered risks, subject to exclusions."
Unit 7: What is extended coverage?,"Broader title insurance protection, often requiring more investigation."
Unit 7: What is subrogation?,Insurer’s right to pursue claims after paying a loss.
Unit 7: What is recording priority?,Rules determining which recorded interest has superior rights.
Unit 7: What is race-notice idea?,"Priority can depend on recording first and lacking notice, depending on state law."
Unit 8: What is broker?,Licensed person responsible for brokerage activity and supervision.
Unit 8: What is sales associate?,Licensee who usually works under a broker.
Unit 8: What is brokerage?,Business of assisting in real estate transactions.
Unit 8: What is commission?,Negotiable compensation paid by agreement.
Unit 8: What is independent contractor?,Common tax status for many real estate sales associates.
Unit 8: What is employee?,Worker status involving more control by employer.
Unit 8: What is antitrust laws?,Laws protecting competition and prohibiting certain broker agreements.
Unit 8: What is price-fixing?,Competitors agreeing to set fees or commission rates.
Unit 8: What is market allocation?,"Competitors dividing territories, clients, or property types."
Unit 8: What is group boycott?,Competitors agreeing not to deal with a party.
Unit 8: What is tying agreement?,Requiring one service as condition for another service.
Unit 8: What is standard commission phrase?,Dangerous phrase because commissions must be negotiable.
Unit 8: What is procuring cause?,"Broker effort that directly produces a ready, willing, and able buyer."
Unit 8: What is cooperating broker?,Broker who assists another broker in a transaction.
Unit 8: What is transaction broker?,Broker role providing limited services without traditional agency in some states.
Unit 8: What is trust funds?,"Money held for others, requiring proper handling."
